iso_code;country;year;population;gdp;carbon_intensity_elec
AFG;Afghanistan;2000;20779958.0;11283792896.0;255.319
AFG;Afghanistan;2001;21606992.0;11021273088.0;118.644
AFG;Afghanistan;2002;22600774.0;18804871168.0;144.928
AFG;Afghanistan;2003;23680872.0;21074343936.0;255.319
AFG;Afghanistan;2004;24726690.0;22332571648.0;269.663
AFG;Afghanistan;2005;25654274.0;25397688320.0;268.817
AFG;Afghanistan;2006;26433058.0;28704401408.0;190.476
AFG;Afghanistan;2007;27100542.0;34507530240.0;168.421
AFG;Afghanistan;2008;27722282.0;36561043456.0;191.781
AFG;Afghanistan;2009;28394806.0;44358721536.0;138.298
AFG;Afghanistan;2010;29185512.0;47399424000.0;159.574
AFG;Afghanistan;2011;30117410.0;53326336000.0;179.487
AFG;Afghanistan;2012;31161378.0;59166900224.0;136.364
AFG;Afghanistan;2013;32269592.0;62993698816.0;153.153
AFG;Afghanistan;2014;33370804.0;64346107904.0;112.069
AFG;Afghanistan;2015;34413600.0;62783393792.0;110.169
AFG;Afghanistan;2016;35383028.0;64297426944.0;107.438
AFG;Afghanistan;2017;36296108.0;68752801792.0;125.984
AFG;Afghanistan;2018;37171920.0;67594969088.0;136.752
AFG;Afghanistan;2019;38041756.0;;141.509
AFG;Afghanistan;2020;38928340.0;;115.385
ALB;Albania;2000;3129246.0;15214264320.0;50.314
ALB;Albania;2001;3129701.0;16563844096.0;56.3
ALB;Albania;2002;3126183.0;17408065536.0;64.171
ALB;Albania;2003;3118017.0;18465497088.0;40.0
ALB;Albania;2004;3104893.0;19587880960.0;40.998
ALB;Albania;2005;3086810.0;20781076480.0;33.088
ALB;Albania;2006;3063021.0;22124285952.0;34.42
ALB;Albania;2007;3033993.0;23574646784.0;41.958
ALB;Albania;2008;3002683.0;25476937728.0;23.684
ALB;Albania;2009;2973044.0;26471389184.0;23.077
ALB;Albania;2010;2948029.0;27598268416.0;23.778
ALB;Albania;2011;2928601.0;28452651008.0;33.413
ALB;Albania;2012;2914091.0;28855377920.0;23.305
ALB;Albania;2013;2903788.0;29142642688.0;24.425
ALB;Albania;2014;2896307.0;29675640832.0;23.305
ALB;Albania;2015;2890524.0;30444531712.0;23.769
ALB;Albania;2016;2886427.0;31481821184.0;24.422
ALB;Albania;2017;2884169.0;32678760448.0;24.336
ALB;Albania;2018;2882735.0;34009112576.0;24.561
ALB;Albania;2019;2880913.0;;23.077
ALB;Albania;2020;2877800.0;;24.482
DZA;Algeria;2000;31042238.0;208554147840.0;468.283
DZA;Algeria;2001;31451514.0;223420301312.0;467.23
DZA;Algeria;2002;31855110.0;245360885760.0;467.303
DZA;Algeria;2003;32264158.0;273568645120.0;464.644
DZA;Algeria;2004;32692152.0;296773615616.0;464.015
DZA;Algeria;2005;33149718.0;326854475776.0;459.384
DZA;Algeria;2006;33641008.0;345705349120.0;463.281
DZA;Algeria;2007;34166976.0;371665207296.0;462.074
DZA;Algeria;2008;34730604.0;395658559488.0;463.752
DZA;Algeria;2009;35333884.0;418247671808.0;413.574
DZA;Algeria;2010;35977448.0;450705883136.0;463.759
DZA;Algeria;2011;36661436.0;482034778112.0;445.604
DZA;Algeria;2012;37383900.0;497923358720.0;460.826
DZA;Algeria;2013;38140136.0;511887736832.0;463.016
DZA;Algeria;2014;38923688.0;531308085248.0;464.034
DZA;Algeria;2015;39728020.0;551519125504.0;464.112
DZA;Algeria;2016;40551400.0;574696128512.0;463.259
DZA;Algeria;2017;41389176.0;582167232512.0;461.607
DZA;Algeria;2018;42228416.0;590317551616.0;460.196
DZA;Algeria;2019;43053056.0;;460.093
DZA;Algeria;2020;43851044.0;;449.749
DZA;Algeria;2021;44616624.0;;
AGO;Angola;2000;16395477.0;23512020992.0;264.286
AGO;Angola;2001;16945754.0;26014777344.0;270.44
AGO;Angola;2002;17519418.0;31389599744.0;257.31
AGO;Angola;2003;18121476.0;35081187328.0;273.196
AGO;Angola;2004;18758138.0;41307009024.0;165.138
AGO;Angola;2005;19433604.0;51967275008.0;153.846
AGO;Angola;2006;20149904.0;66748907520.0;148.148
AGO;Angola;2007;20905360.0;87085293568.0;171.429
AGO;Angola;2008;21695636.0;105591652352.0;182.266
