iso_code;year;fuel;production
AFG;2000;biofuel;0.0
AFG;2001;biofuel;0.0
AFG;2002;biofuel;0.0
AFG;2003;biofuel;0.0
AFG;2004;biofuel;0.0
AFG;2005;biofuel;0.0
AFG;2006;biofuel;0.0
AFG;2007;biofuel;0.0
AFG;2008;biofuel;0.0
AFG;2009;biofuel;0.0
AFG;2010;biofuel;0.0
AFG;2011;biofuel;0.0
AFG;2012;biofuel;0.0
AFG;2013;biofuel;0.0
AFG;2014;biofuel;0.0
AFG;2015;biofuel;0.0
AFG;2016;biofuel;0.0
AFG;2017;biofuel;0.0
AFG;2018;biofuel;0.0
AFG;2019;biofuel;0.0
AFG;2020;biofuel;0.0
ALB;2000;biofuel;0.0
ALB;2001;biofuel;0.0
ALB;2002;biofuel;0.0
ALB;2003;biofuel;0.0
ALB;2004;biofuel;0.0
ALB;2005;biofuel;0.0
ALB;2006;biofuel;0.0
ALB;2007;biofuel;0.0
ALB;2008;biofuel;0.0
ALB;2009;biofuel;0.0
ALB;2010;biofuel;0.0
ALB;2011;biofuel;0.0
ALB;2012;biofuel;0.0
ALB;2013;biofuel;0.0
ALB;2014;biofuel;0.0
ALB;2015;biofuel;0.0
ALB;2016;biofuel;0.0
ALB;2017;biofuel;0.0
ALB;2018;biofuel;0.0
ALB;2019;biofuel;0.0
ALB;2020;biofuel;0.0
DZA;2000;biofuel;0.0
DZA;2001;biofuel;0.0
DZA;2002;biofuel;0.0
DZA;2003;biofuel;0.0
DZA;2004;biofuel;0.0
DZA;2005;biofuel;0.0
DZA;2006;biofuel;0.0
DZA;2007;biofuel;0.0
DZA;2008;biofuel;0.0
DZA;2009;biofuel;0.0
DZA;2010;biofuel;0.0
DZA;2011;biofuel;0.0
DZA;2012;biofuel;0.0
DZA;2013;biofuel;0.0
DZA;2014;biofuel;0.0
DZA;2015;biofuel;0.0
DZA;2016;biofuel;0.0
DZA;2017;biofuel;0.0
DZA;2018;biofuel;0.0
DZA;2019;biofuel;0.0
DZA;2020;biofuel;0.0
DZA;2021;biofuel;
AGO;2000;biofuel;0.0
AGO;2001;biofuel;0.0
AGO;2002;biofuel;0.0
AGO;2003;biofuel;0.0
AGO;2004;biofuel;0.0
AGO;2005;biofuel;0.0
AGO;2006;biofuel;0.0
AGO;2007;biofuel;0.0
AGO;2008;biofuel;0.0
AGO;2009;biofuel;0.0
AGO;2010;biofuel;0.0
AGO;2011;biofuel;0.0
AGO;2012;biofuel;0.0
